t	CO	PV
266	100	37.55458515283843
267	100	37.99126637554585
268	100	37.55458515283843
269	100	37.84570596797671
270	100	38.42794759825328
271	100	37.84570596797671
272	100	38.42794759825328
273	100	38.57350800582242
274	100	38.13682678311499
275	100	38.57350800582242
276	100	38.71906841339156
277	100	38.13682678311499
278	100	38.28238719068413
279	100	38.71906841339156
280	100	38.28238719068413
281	100	38.42794759825328
282	100	39.01018922852984
283	100	38.42794759825328
284	100	39.01018922852984
285	100	38.57350800582242
286	100	39.15574963609898
287	100	38.57350800582242
288	100	38.71906841339156
289	100	39.15574963609898
290	100	39.30131004366813
291	100	38.71906841339156
292	100	39.30131004366813
293	100	39.44687045123727
294	100	39.01018922852984
295	100	39.44687045123727
296	100	39.01018922852984
297	100	39.737991266375545
298	100	39.30131004366813
299	100	39.737991266375545
300	100	39.88355167394469
301	100	39.30131004366813
302	100	39.88355167394469
303	100	39.737991266375545
304	100	40.32023289665211
305	100	39.737991266375545
306	100	40.32023289665211
307	100	40.46579330422125
308	100	40.02911208151383
309	100	40.46579330422125
310	100	40.02911208151383
311	100	40.61135371179039
312	100	40.17467248908297
313	100	40.61135371179039
314	100	40.17467248908297
315	100	40.756914119359536
316	100	40.32023289665211
317	100	40.756914119359536
318	100	40.32023289665211
319	100	40.90247452692868
320	100	40.46579330422125
321	100	40.90247452692868
322	100	40.46579330422125
323	100	40.756914119359536
324	100	41.3391557496361
325	100	40.756914119359536
326	100	40.90247452692868
327	100	41.3391557496361
328	100	41.04803493449781
329	100	41.48471615720524
330	100	41.48471615720524
331	100	41.630276564774384
332	100	41.04803493449781
333	100	41.630276564774384
334	100	41.19359534206696
335	100	41.77583697234352
336	100	41.19359534206696
337	100	41.77583697234352
338	100	41.48471615720524
339	100	41.48471615720524
340	100	41.630276564774384
341	100	42.21251819505095
342	100	41.77583697234352
343	100	42.21251819505095
344	100	42.35807860262009
345	100	41.77583697234352
346	100	42.35807860262009
347	100	41.92139737991266
348	100	42.503639010189225
349	100	41.92139737991266
350	100	42.503639010189225
351	100	42.64919941775837
352	100	42.21251819505095
353	100	42.64919941775837
354	100	42.21251819505095
355	100	42.79475982532751
356	100	42.94032023289665
357	100	42.94032023289665
358	100	42.503639010189225
359	100	43.0858806404658
360	100	42.503639010189225
361	100	43.0858806404658
362	100	43.23144104803494
363	100	42.79475982532751
364	100	43.23144104803494
365	100	42.79475982532751
366	100	42.94032023289665
367	100	43.522561863173216
368	100	42.94032023289665
369	100	43.0858806404658
370	100	43.522561863173216
371	100	43.66812227074236
372	100	43.0858806404658
